-5.4  -5   9      11   0.0639	0.	0.
-5.4  -5   11     13.5 0.0603	0.	0.
-5.4  -5   13.5   16.5 0.0577	0.	0.
-5.4  -5   16.5   19.5 0.0557	0.	0.
-5.4  -5   19.5   22.5 0.0543	0.	0.
-5.4  -5   22.5   26   0.0531	0.	0.
-5.4  -5   26     30   0.052	0.	0.
-5.4  -5   30     34.5 0.051	0.	0.
-5.4  -5   34.5   40   0.05	    0.	0.
-5.4  -5   40     46   0.049	0.	0.
-5.4  -5   46     52.5 0.0482	0.	0.
-5.4  -5   52.5   60   0.0474	0.	0.
-5.4  -5   60     69   0.0466	0.	0.
-5.4  -5   69     79   0.0459	0.	0.
-5.4  -5   79     90.5 0.0453	0.	0.
-5.4  -5   90.5   105.5 0.0447	0.	0.
-5.4  -5   105.5  123.5 0.0441	0.	0.
-5.4  -5   123.5  143 0.0436	0.	0.
-5.4  -5   143    163.5 0.0431	0.	0.
-5.4  -5   163.5  185 0.0428	0.	0.
-5.4  -5   185    208 0.0425	0.	0.
-5.4  -5   208  232.5 0.0422	0.	0.
-5.4  -5   232.5  258.5  0.042	0.	0.
-5.4  -5   258.5 286 0.0419	0.	0.
-5.4  -5   286 331 0.0417	0.	0.
-5.4  -5   331 396 0.0416	0.	0.
-5.4  -5   396  468.5 0.0414	0.	0.
-5.4  -5   468.5  549.5 0.0413	0.	0.
-5.4  -5   549.5 639 0.0413	0.	0.
-5.4  -5   639 738 0.0414	0.	0.
-5.4  -5   738  847.5 0.0415	0.	0.
-5.4  -5   847.5  968.5 0.0416	0.	0.
-5.4  -5   968.5   1102 0.0417	0.	0.
-5.4  -5   1102 1249.5 0.0418	0.	0.
-5.4  -5   1249.5   1412 0.0419	0.	0.
-5.4  -5   1412 1590.5  0.042	0.	0.
-5.4  -5   1590.5   1787 0.0421	0.	0.
-5.4  -5   1787   1945 0.0422	0.	0.
-5.4  -5   1945   2119 0.0423	0.	0.
-5.4  -5   2119   2369 0.0424	0.	0.
-5.4  -5   2369 2643.5 0.0425	0.	0.
-5.4  -5   2643.5   2945 0.0426	0.	0.
-5.4  -5   2945 3276.5 0.0427	0.	0.
-5.4  -5   3276.5 10000 0.0429	0.	0.
-5   -4.4  9  11 0.0634	0.	0.
-5   -4.4  11   13.5 0.0599	0.	0.
-5   -4.4   13.5   16.5 0.0574	0.	0.
-5   -4.4   16.5   19.5 0.0555	0.	0.
-5   -4.4   19.5   22.5 0.0541	0.	0.
-5   -4.4   22.5  26  0.053	0.	0.
-5   -4.4  26  30 0.0519	0.	0.
-5   -4.4  30   34.5 0.0509	0.	0.
-5   -4.4   34.5  40   0.05	0.	0.
-5   -4.4  40  46  0.049	0.	0.
-5   -4.4  46   52.5 0.0481	0.	0.
-5   -4.4   52.5  60 0.0467	0.	0.
-5   -4.4  60  69  0.044	0.	0.
-5   -4.4  69  79 0.0418	0.	0.
-5   -4.4  79   90.5 0.0407	0.	0.
-5   -4.4   90.5  105.5 0.0401	0.	0.
-5   -4.4  105.5  123.5 0.0394	0.	0.
-5   -4.4  123.5 143 0.0388	0.	0.
-5   -4.4 143  163.5 0.0383	0.	0.
-5   -4.4  163.5 185 0.0379	0.	0.
-5   -4.4 185 208 0.0376	0.	0.
